T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
202,00	Sub-Saharan Africa	2005	Labour force participation - Female	64.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2005	Unemployment rate - Female	05. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Labour force participation - Total	68.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Unemployment rate - Total	05. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Labour force participation - Male	73.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Unemployment rate - Male	05. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Labour force participation - Female	63.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2010	Unemployment rate - Female	6.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Labour force participation - Total	67.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Unemployment rate - Total	05. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Labour force participation - Male	72.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Unemployment rate - Male	05. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Labour force participation - Female	61.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2015	Unemployment rate - Female	05. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Labour force participation - Total	67.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Unemployment rate - Total	06. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Labour force participation - Male	73.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Unemployment rate - Male	06. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Labour force participation - Female	62.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
202,00	Sub-Saharan Africa	2023	Unemployment rate - Female	06. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
14,00	Eastern Africa	2005	Labour force participation - Total	76.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
14,00	Eastern Africa	2005	Unemployment rate - Total	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
14,00	Eastern Africa	2005	Labour force participation - Male	81.1	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
14,00	Eastern Africa	2005	Unemployment rate - Male	03. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
14,00	Eastern Africa	2005	Labour force participation - Female	71.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
