name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,html,cluster,PC1,PC2,PC3,playlist
Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,0.706,0.303,2,-14.678,1,0.0534,0.817,0.0,0.0874,0.884,87.806,107258,4,0OIXsw1P2SZvF6T2qsFFzS ,https://open.spotify.com/track/0OIXsw1P2SZvF6T2qsFFzS,1,-0.14081234173952734,-2.2807008595438276,0.08094960171651229,Energetic Party Hits
OBI                                                                                                                                                                              ,Toots Thielemans                                ,0.566,0.314,4,-17.921,0,0.0761,0.756,0.000442,0.0845,0.337,82.007,265573,4,1FSrV96XeBhJZQ4qIaOR79 ,https://open.spotify.com/track/1FSrV96XeBhJZQ4qIaOR79,1,0.7569618688183756,-1.0266387475471803,-1.8631549138641281,Energetic Party Hits
Mas Que Nada                                                                                                                                                                     ,Jorge Ben Jor                                   ,0.504,0.566,2,-7.506,0,0.0284,0.563,1.75e-05,0.0902,0.573,89.423,180840,4,418er4nP9ZkcjB8oNzTEgb ,https://open.spotify.com/track/418er4nP9ZkcjB8oNzTEgb,1,0.032581422662559374,-1.3344883555183835,-1.6076726739984943,Energetic Party Hits
Laia Ladia                                                                                                                                                                       ,Brazilian Jazz                                  ,0.387,0.469,9,-13.485,0,0.0419,0.226,0.0424,0.074,0.509,85.595,191400,4,5BUYtDh62uirLH4vMnE2dA ,https://open.spotify.com/track/5BUYtDh62uirLH4vMnE2dA,1,0.3648284558263087,-1.2937097658760839,-1.7104717980484825,Energetic Party Hits
Triste                                                                                                                                                                           ,Brazilian Jazz                                  ,0.61,0.34,2,-11.653,1,0.034,0.906,0.859,0.0975,0.459,103.825,131400,4,5v8WqKhW9CBk2WF9PAcSIw ,https://open.spotify.com/track/5v8WqKhW9CBk2WF9PAcSIw,0,1.660138973817308,-0.6618195497579981,0.42679530696087337,Relaxing Instrumentals
Só Danço Samba                                                                                                                                                                   ,Stan Getz                                       ,0.611,0.279,8,-12.032,1,0.0554,0.838,0.438,0.131,0.677,81.546,214733,4,4Wzym5Rbnn8Ny8rFqEObm1 ,https://open.spotify.com/track/4Wzym5Rbnn8Ny8rFqEObm1,1,0.8690776174637512,-1.4626108722264681,0.029936220567752886,Energetic Party Hits
Samba Triste                                                                                                                                                                     ,Stan Getz                                       ,0.637,0.19,9,-22.466,0,0.0676,0.841,0.263,0.12,0.687,143.111,283627,4,0KY71RFPZJPqR04jOQFUw2 ,https://open.spotify.com/track/0KY71RFPZJPqR04jOQFUw2,1,0.12754786764170953,-1.0233154160087734,-0.9918874509792163,Energetic Party Hits
País Tropical                                                                                                                                                                    ,Wilson Simonal                                  ,0.708,0.599,5,-9.516,1,0.0336,0.693,0.0,0.296,0.917,129.048,209213,4,5bcc5zWUX4zjCnAvyyuHu4 ,https://open.spotify.com/track/5bcc5zWUX4zjCnAvyyuHu4,1,-1.220602244650606,-1.2476996922007828,0.8172458367017542,Energetic Party Hits
Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,0.584,0.0506,8,-20.168,1,0.0647,0.901,0.163,0.0693,0.126,97.627,269227,5,219DjV3d1L9rHlhNgQ5QQB ,https://open.spotify.com/track/219DjV3d1L9rHlhNgQ5QQB,1,0.946005605715148,-1.387735710139552,-0.39108939590082,Energetic Party Hits
Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,0.701,0.585,5,-9.991,1,0.0444,0.484,0.0,0.815,0.845,122.276,164720,4,78u9OrQFHqmEWemJQrQQIE ,https://open.spotify.com/track/78u9OrQFHqmEWemJQrQQIE,2,-1.6652020909923682,0.10705541215935972,0.8125515496597275,Rhythmic Beats
Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,0.66,0.148,10,-16.689,1,0.0497,0.893,0.00175,0.117,0.272,124.058,209067,4,6CWSXBQ2QwIqtRVDCGZatZ ,https://open.spotify.com/track/6CWSXBQ2QwIqtRVDCGZatZ,1,0.8588382277154625,-1.1888221769766756,0.5695182511537021,Energetic Party Hits
Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,0.506,0.252,2,-14.083,0,0.0502,0.919,0.863,0.111,0.2,74.917,195600,4,4az3kPwzJjdQBb8bYaYhy0 ,https://open.spotify.com/track/4az3kPwzJjdQBb8bYaYhy0,0,2.4177813577751848,-0.20147402148247698,-1.853024694289696,Relaxing Instrumentals
"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,0.696,0.322,5,-15.868,1,0.0372,0.978,0.879,0.0737,0.658,105.776,368027,4,7a1STMihNJUyRxHGxDAFP8 ,https://open.spotify.com/track/7a1STMihNJUyRxHGxDAFP8,0,1.358493676822982,-1.008859801228555,0.43895322419951327,Relaxing Instrumentals
Maroca                                                                                                                                                                           ,Mundo Livre                                     ,0.652,0.725,1,-7.794,0,0.0316,0.0335,0.0284,0.177,0.581,147.876,307347,4,4JrQ68jT83CXIyVZTHj4Rx ,https://open.spotify.com/track/4JrQ68jT83CXIyVZTHj4Rx,1,-0.8394314757956111,-0.41496410719729115,-0.7303798319690805,Energetic Party Hits
Apelo                                                                                                                                                                            ,Jenny Chi                                       ,0.531,0.153,2,-12.022,1,0.0356,0.923,0.000131,0.125,0.164,81.972,361800,4,55OpI2p7uXEzsDuhNf7Kzn ,https://open.spotify.com/track/55OpI2p7uXEzsDuhNf7Kzn,0,1.464469718368749,-1.414261432292045,0.007252500455567604,Relaxing Instrumentals
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,0.576,0.322,4,-23.134,0,0.178,0.879,0.593,0.694,0.805,83.696,188280,4,1BTO5gV9xSAB7EOBKSlcFY ,https://open.spotify.com/track/1BTO5gV9xSAB7EOBKSlcFY,2,-0.39647098480148935,1.0445347890707646,-1.8473929623998329,Rhythmic Beats
Corcovado                                                                                                                                                                        ,Stan Getz                                       ,0.53,0.0902,9,-18.37,0,0.0469,0.926,0.00782,0.286,0.364,126.648,258560,4,0bQViEvXvH8iNl8hRRkU5o ,https://open.spotify.com/track/0bQViEvXvH8iNl8hRRkU5o,1,0.5428746897848136,-0.7886603430217236,-1.1925079083706498,Energetic Party Hits
Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,0.745,0.368,0,-11.419,1,0.0498,0.83,0.00292,0.151,0.582,98.953,190960,4,1dtPIHAk2W9tn9WVW6hMzS ,https://open.spotify.com/track/1dtPIHAk2W9tn9WVW6hMzS,1,0.13788674593438288,-1.4840147165275364,0.27677239940340603,Energetic Party Hits
Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,0.579,0.342,7,-17.379,1,0.042,0.879,0.813,0.109,0.774,117.024,266373,4,7ArXv6K80rPeN38OtKOU00 ,https://open.spotify.com/track/7ArXv6K80rPeN38OtKOU00,1,0.8664018233669581,-1.030792645719405,0.5948439059179959,Energetic Party Hits
Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,0.575,0.274,2,-18.579,0,0.0472,0.686,0.343,0.102,0.628,105.678,179960,4,0OSEW45vRnj45QdIpV1NY4 ,https://open.spotify.com/track/0OSEW45vRnj45QdIpV1NY4,1,0.6434808154363107,-1.2047258436255193,-1.4565888538886191,Energetic Party Hits
Rosa Morena                                                                                                                                                                      ,Dorival Caymmi                                  ,0.526,0.489,0,-11.555,0,0.0354,0.206,0.0,0.105,0.717,95.995,138693,4,5p62Lc3ALej4hOuClxLGUx ,https://open.spotify.com/track/5p62Lc3ALej4hOuClxLGUx,1,-0.20517338892671116,-1.542637216140356,-1.545152486778131,Energetic Party Hits
Insensatez                                                                                                                                                                       ,Stan Getz                                       ,0.67,0.187,5,-15.997,1,0.037,0.945,0.618,0.104,0.305,127.676,203560,4,3F6mq6sojBFJxYbfjBwqMT ,https://open.spotify.com/track/3F6mq6sojBFJxYbfjBwqMT,0,1.6155304982253598,-0.6580070327084618,0.7011295898564445,Relaxing Instrumentals
Menina Moca                                                                                                                                                                      ,Stan Getz                                       ,0.593,0.475,4,-10.763,0,0.0336,0.797,0.000373,0.129,0.789,106.501,341867,4,5LtticIcN2PoWNV43w3Xmm ,https://open.spotify.com/track/5LtticIcN2PoWNV43w3Xmm,1,-0.42798492605445354,-1.5564268867503865,-1.3927164576246387,Energetic Party Hits
So Nice (Summer Samba)                                                                                                                                                           ,Marcos Valle                                    ,0.773,0.492,6,-11.472,1,0.0397,0.549,0.0,0.103,0.822,122.054,148853,4,0i4xlmrZ5NVmx6VWSqBeAq ,https://open.spotify.com/track/0i4xlmrZ5NVmx6VWSqBeAq,1,-0.6089068751223894,-1.7119864137571001,0.6391565733452929,Energetic Party Hits
Santa Maria de Feira                                                                                                                                                             ,Devendra Banhart                                ,0.542,0.377,2,-12.211,1,0.033,0.933,0.319,0.15,0.729,107.113,275493,4,7Lh1a33hTfzJW42Hf7OTmn ,https://open.spotify.com/track/7Lh1a33hTfzJW42Hf7OTmn,1,0.284831337152,-1.4550157010365843,0.4496819841808862,Energetic Party Hits
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,0.67,0.822,9,-6.687,0,0.057,0.67,0.00115,0.132,0.833,145.56,196987,4,0mr34YS5FIX0b2mi03HuhE ,https://open.spotify.com/track/0mr34YS5FIX0b2mi03HuhE,1,-1.5037622152076153,-0.6465025702580571,-0.7995046241558729,Energetic Party Hits
Blue Bossa                                                                                                                                                                       ,Tete Montoliu                                   ,0.599,0.518,8,-13.434,1,0.0553,0.823,0.87,0.2,0.962,110.723,443787,4,6uHi0xmyuv7NI0nyVeXjXE ,https://open.spotify.com/track/6uHi0xmyuv7NI0nyVeXjXE,1,0.225337558986665,-0.757440449153016,0.5489461495158106,Energetic Party Hits
Aguas De Março                                                                                                                                                                   ,Tempo Rei                                       ,0.797,0.411,0,-10.07,0,0.0896,0.79,0.0,0.101,0.606,135.955,223440,4,40RMFaZwnpzMqqqFewk0jk ,https://open.spotify.com/track/40RMFaZwnpzMqqqFewk0jk,1,-0.43741737286052856,-0.7742367963391722,-1.1032596096329907,Energetic Party Hits
Bossa Dorado                                                                                                                                                                     ,Pete Krebs & The Kung Pao Chi                   ,0.78,0.446,0,-13.332,1,0.0499,0.708,0.843,0.118,0.831,133.222,252987,4,761Z36M57ALRBS2TsGMg7X ,https://open.spotify.com/track/761Z36M57ALRBS2TsGMg7X,1,0.45297400886635514,-0.7391348994954141,0.8381002299321622,Energetic Party Hits
Orange Afternoon                                                                                                                                                                 ,Bebe                                            ,0.615,0.63,10,-10.809,1,0.0448,0.43,0.244,0.113,0.557,91.122,249800,4,7DWWkZl6SvvIKzGGzIIKYi ,https://open.spotify.com/track/7DWWkZl6SvvIKzGGzIIKYi,1,0.22949755051276252,-1.0066757851280417,0.25299677634921275,Energetic Party Hits
Homens                                                                                                                                                                           ,Manu Chao                                       ,0.736,0.439,9,-12.062,0,0.0527,0.796,0.000474,0.0941,0.972,149.984,198427,4,19SaQ50zJG69AUrr4uBkAS ,https://open.spotify.com/track/19SaQ50zJG69AUrr4uBkAS,1,-1.119684242513359,-1.514959393936306,-0.8343195338517984,Energetic Party Hits
"Lisboa, Menina E Moça                                                                                                                                                          ",Som Ibérico                                     ,0.524,0.578,4,-10.644,0,0.0505,0.716,0.703,0.0876,0.567,78.644,275017,4,3b0raPrfKei6JVvSpjS2xW ,https://open.spotify.com/track/3b0raPrfKei6JVvSpjS2xW,1,1.0105248273818086,-0.5152374185017066,-1.7402223200710936,Energetic Party Hits
Lisboa menina e moça                                                                                                                                                             ,Various Artists                                 ,0.708,0.333,6,-10.643,0,0.0285,0.862,0.000594,0.0915,0.757,101.86,186697,4,1ygyaDfAly6uDoRi6bm3yU ,https://open.spotify.com/track/1ygyaDfAly6uDoRi6bm3yU,1,-0.037628356839952797,-1.871523089577429,-1.492032981708909,Energetic Party Hits
